Date,average_temp,high_temp,low_temp
2002-03-01,5.103686937,13.2557846,-0.387645353
2002-03-02,5.610427173,12.49759353,0.451142833
2002-03-03,4.370001334,10.29012518,0.077539576
2002-03-04,4.335176731,10.54153474,-2.455993129
2002-03-05,3.956826292,6.290767801,2.208495777
2002-03-06,2.712671117,5.986091963,-0.100247315
2002-03-07,1.594727247,6.521212542,-3.007438248
2002-03-08,3.371895835,10.32779902,-3.292880818
2002-03-09,8.747893952,15.82907783,-0.140984502
2002-03-10,9.109656965,14.24845409,4.048598164
2002-03-11,6.935588689,13.85254724,0.054604266
2002-03-12,8.121823963,16.22969051,1.584919619
2002-03-13,9.805782783,18.42570433,2.557224159
2002-03-14,9.444223564,13.36933362,5.887705251
2002-03-15,9.010194844,13.67397869,4.920726753
2002-03-16,8.760206652,15.97068621,1.706273936
2002-03-17,10.01561885,16.11085285,4.682687883
2002-03-18,8.009866305,13.36746984,3.382956123
2002-03-19,8.745549892,16.00634949,1.815844865
2002-03-20,12.10844479,19.65864183,2.497253648
2002-03-21,8.820427629,14.76298039,5.830903027
2002-03-22,6.820876606,10.11611948,4.067099046
2002-03-23,5.740885628,10.58128021,1.984843461
2002-03-24,5.433767059,10.75527379,0.0883099
2002-03-25,7.377313905,14.17490955,0.572649662
2002-03-26,8.786231262,14.22798113,2.565574837
2002-03-27,10.41797697,16.41218096,5.244729179
2002-03-28,10.86981984,17.44565579,3.720382323
2002-03-29,11.17187746,17.34698805,6.855704808
2002-03-30,9.488714956,14.84523201,4.705582963
2002-03-31,10.81677689,16.04635485,7.081346451
2002-04-01,13.33023175,21.52326476,5.633701326
2002-04-02,15.00107092,23.58157612,6.409318368
2002-04-03,14.3547542,21.16809683,7.772648979
2002-04-04,12.7260141,21.11113243,4.737528197
2002-04-05,15.31094063,23.5403623,6.191933261
2002-04-06,12.38148273,15.17029103,9.749688658
2002-04-07,11.68047426,15.97854642,8.935435334
2002-04-08,9.947765652,14.3683321,6.865239384
2002-04-09,8.145411824,12.98279534,4.245400068
2002-04-10,8.88114994,14.30991327,3.366456935
2002-04-11,9.406505448,15.07147694,3.952068837
2002-04-12,10.61295962,16.91283927,5.364519543
2002-04-13,12.01291755,17.43249546,6.178390205
2002-04-14,17.9896532,24.08936537,10.93570874
2002-04-15,18.24420631,22.14374623,15.80036101
2002-04-16,15.20786993,19.68647905,11.18863005
2002-04-17,11.20285429,14.68311542,7.793156669
2002-04-18,10.901244,17.03033844,4.929755794
2002-04-19,11.63653004,19.04812397,4.463108596
2002-04-20,13.45208027,20.92896347,5.046928108
2002-04-21,16.57372322,24.20222845,9.081511299
2002-04-22,18.6748253,26.11895214,11.26275245
2002-04-23,16.29427386,21.42675949,12.77076808
2002-04-24,11.66110152,16.04934478,6.752231178
2002-04-25,10.33042268,16.58976018,4.324890375
2002-04-26,12.16343393,18.95935225,4.496846814
2002-04-27,13.97235689,20.15333447,9.089554291
2002-04-28,15.61096124,22.75629263,8.195922334
2002-04-29,15.17054999,18.11690111,12.41106475
2002-04-30,15.07815737,17.68576041,12.75833076
2002-05-01,16.70998674,22.85135548,11.11430393
2002-05-02,16.5235044,23.64375178,9.60764327
